TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
BPACustomBPATabakProd,Accounts,Id,int,,10,0,NO,,1,YES,healthcare_ai
BPACustomBPATabakProd,Accounts,name,varchar,200,,,YES,NULL,2,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,house,varchar,50,,,YES,NULL,3,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,street,varchar,50,,,YES,NULL,4,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,pincode,varchar,10,,,YES,NULL,5,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,address,varchar,400,,,YES,NULL,6,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,email,varchar,100,,,YES,NULL,7,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,phone_code,varchar,4,,,YES,NULL,8,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,phone_no,varchar,15,,,YES,NULL,9,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,country_id,int,,10,0,YES,NULL,10,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,state_id,int,,10,0,YES,NULL,11,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,data_retention_period,int,,10,0,YES,NULL,12,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,archived,varchar,10,,,YES,NULL,13,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,archived_date,datetime,,,,YES,NULL,14,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,created_at,datetime,,,,YES,NULL,15,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,created_by,varchar,100,,,YES,NULL,16,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,update_date,datetime,,,,YES,NULL,17,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,updated_by,varchar,100,,,YES,NULL,18,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,status,varchar,15,,,YES,NULL,19,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,city,longtext,4294967295,,,YES,NULL,20,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,organization_code,varchar,255,,,NO,,21,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,FilterSection,tinyint,,3,0,YES,NULL,22,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,InboxSection,tinyint,,3,0,YES,NULL,23,NO,healthcare_ai
BPACustomBPATabakProd,Accounts,LogoUrl,varchar,300,,,YES,NULL,24,NO,healthcare_ai
BPACustomBPATabakProd,AppExceptions,Id,int,,10,0,NO,,1,YES,healthcare_ai
BPACustomBPATabakProd,AppExceptions,EntityId,int,,10,0,NO,,2,NO,healthcare_ai
BPACustomBPATabakProd,AppExceptions,EntityType,int,,10,0,NO,,3,NO,healthcare_ai
BPACustomBPATabakProd,AppExceptions,ExceptionMessage,longtext,4294967295,,,NO,,4,NO,healthcare_ai
