TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
BPACustomBPATabakProd,Accounts,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,Accounts,name,varchar,200,,,YES,NULL,2,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,house,varchar,50,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,street,varchar,50,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,pincode,varchar,10,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,address,varchar,400,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,email,varchar,100,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,phone_code,varchar,4,,,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,phone_no,varchar,15,,,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,country_id,int,,10,0,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,state_id,int,,10,0,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,data_retention_period,int,,10,0,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,archived,varchar,10,,,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,archived_date,datetime,,,,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,created_at,datetime,,,,YES,NULL,15,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,created_by,varchar,100,,,YES,NULL,16,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,update_date,datetime,,,,YES,NULL,17,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,updated_by,varchar,100,,,YES,NULL,18,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,status,varchar,15,,,YES,NULL,19,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,city,longtext,4294967295,,,YES,NULL,20,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,organization_code,varchar,255,,,NO,,21,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,FilterSection,tinyint,,3,0,YES,NULL,22,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,InboxSection,tinyint,,3,0,YES,NULL,23,NO,tabak_mariadb
BPACustomBPATabakProd,Accounts,LogoUrl,varchar,300,,,YES,NULL,24,NO,tabak_mariadb
BPACustomBPATabakProd,AppExceptions,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,AppExceptions,EntityId,int,,10,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,AppExceptions,EntityType,int,,10,0,NO,,3,NO,tabak_mariadb
BPACustomBPATabakProd,AppExceptions,ExceptionMessage,longtext,4294967295,,,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,AppExceptions,ExceptionDate,datetime,,,,NO,,5,NO,tabak_mariadb
BPACustomBPATabakProd,Attributes,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,Attributes,AttributeName,longtext,4294967295,,,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,Attributes,AttributeDataType,longtext,4294967295,,,NO,,3,NO,tabak_mariadb
BPACustomBPATabakProd,Attributes,MinLength,int,,10,0,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,Attributes,MaxLength,int,,10,0,NO,,5,NO,tabak_mariadb
